[2026-04-14 23:55:01,925] 20 root - INFO - Initiate the data ingestion
[2026-04-14 23:55:07,786] 68 root - INFO - Performed train test split on the dataframe
[2026-04-14 23:55:07,787] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-14 23:55:07,787] 78 root - INFO - Exporting train and test file path.
[2026-04-14 23:55:07,835] 87 root - INFO - Exported train and test file path.
[2026-04-14 23:55:07,836] 22 root - INFO - Data Initiation Completed
[2026-04-14 23:55:07,842] 26 root - INFO - Initiate the data Validation
[2026-04-14 23:55:07,884] 34 root - INFO - Required number of columns: 31
[2026-04-14 23:55:07,884] 35 root - INFO - Data frame has columns: 31
[2026-04-14 23:55:07,886] 110 root - INFO - Train dataset validation passed
[2026-04-14 23:55:07,886] 34 root - INFO - Required number of columns: 31
[2026-04-14 23:55:07,886] 35 root - INFO - Data frame has columns: 31
[2026-04-14 23:55:07,887] 117 root - INFO - Test dataset validation passed
[2026-04-14 23:55:08,008] 28 root - INFO - data Validation Completed
[2026-04-14 23:55:08,008] 31 root - INFO - data Transformation started
[2026-04-14 23:55:08,008] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-04-14 23:55:08,008] 67 root - INFO - Starting data transformation
[2026-04-14 23:55:08,026] 50 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-04-14 23:55:08,026] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-14 23:55:08,039] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-14 23:55:08,042] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-14 23:55:08,043] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-14 23:55:08,044] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-14 23:55:08,044] 35 root - INFO - data Transformation completed
[2026-04-14 23:55:08,046] 37 root - INFO - Model Training sstared
[2026-04-14 23:57:41,524] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-14 23:57:41,542] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-14 23:57:41,542] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-14 23:57:41,572] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-14 23:57:41,574] 116 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='artifacts\\04_14_2026_23_54_58\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909562036378416, precision_score=0.9890466531440162, recall_score=0.992873141926288), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9811320754716981, precision_score=0.9815261044176706, recall_score=0.9807383627608347))
[2026-04-14 23:57:41,575] 42 root - INFO - Model Training artifact created
