[2026-04-15 00:42:26,786] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-04-15 00:42:27,408] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-04-15 00:42:28,106] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-04-15 00:42:28,111] 107 dagshub - INFO - Accessing as foued-firas
[2026-04-15 00:42:28,821] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/foued-firas/-Network-Security-System "HTTP/1.1 200 OK"
[2026-04-15 00:42:29,407] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-04-15 00:42:29,409] 107 dagshub - INFO - Initialized MLflow to track repo "foued-firas/-Network-Security-System"
[2026-04-15 00:42:29,411] 107 dagshub - INFO - Repository foued-firas/-Network-Security-System initialized!
[2026-04-15 00:42:29,411] 20 root - INFO - Initiate the data ingestion
[2026-04-15 00:42:42,808] 68 root - INFO - Performed train test split on the dataframe
[2026-04-15 00:42:42,808] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-15 00:42:42,809] 78 root - INFO - Exporting train and test file path.
[2026-04-15 00:42:42,850] 87 root - INFO - Exported train and test file path.
[2026-04-15 00:42:42,850] 22 root - INFO - Data Initiation Completed
[2026-04-15 00:42:42,874] 26 root - INFO - Initiate the data Validation
[2026-04-15 00:42:42,968] 34 root - INFO - Required number of columns: 31
[2026-04-15 00:42:42,969] 35 root - INFO - Data frame has columns: 31
[2026-04-15 00:42:42,969] 110 root - INFO - Train dataset validation passed
[2026-04-15 00:42:42,970] 34 root - INFO - Required number of columns: 31
[2026-04-15 00:42:42,970] 35 root - INFO - Data frame has columns: 31
[2026-04-15 00:42:42,970] 117 root - INFO - Test dataset validation passed
[2026-04-15 00:42:43,118] 28 root - INFO - data Validation Completed
[2026-04-15 00:42:43,118] 31 root - INFO - data Transformation started
[2026-04-15 00:42:43,118] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-04-15 00:42:43,118] 67 root - INFO - Starting data transformation
[2026-04-15 00:42:43,134] 50 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-04-15 00:42:43,135] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-15 00:42:43,147] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 00:42:43,149] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 00:42:43,149] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 00:42:43,150] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 00:42:43,151] 35 root - INFO - data Transformation completed
[2026-04-15 00:42:43,152] 37 root - INFO - Model Training sstared
[2026-04-15 00:45:28,078] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 00:45:28,095] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 00:45:28,095] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 00:45:28,113] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 00:45:28,113] 118 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='artifacts\\04_15_2026_00_41_43\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913218970736629, precision_score=0.98932527693857, recall_score=0.9933265925176946), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9774682507169193, precision_score=0.9707078925956062, recall_score=0.9843234323432343))
[2026-04-15 00:45:28,115] 42 root - INFO - Model Training artifact created
